File Name	Genotype
A_Aalopochen_Aegyptiaca_Belgium_2928_002_2021.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_african-jacana_Nigeria_VRD22-305-DA18_23VIR8254-113_2022.fa	Not assigned: No Matching Genotypes
A_african-jacana_Nigeria_VRD22-305-DA19_23VIR8254-114_2022.fa	Not assigned: No Matching Genotypes
A_Alberta_01_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_American_black_duck_Alberta_118_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_American_black_duck_New_Brunswick_00867_2010.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_American_Crow_BC_AIVPHL-1246_2023.fa	B4.1
A_American_Crow_BC_AIVPHL-1384_2023.fa	B3.6
A_American_Crow_BC_AIVPHL-1424_2023.fa	B3.6
A_American_Crow_BC_AIVPHL-1425_2023.fa	B3.6
A_American_Crow_BC_AIVPHL-1468_2023.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file
A_American_Crow_BC_AIVPHL-1469_2023.fa	B3.6
A_American_Crow_BC_AIVPHL-1471_2023.fa	B3.6
A_American_Crow_BC_AIVPHL-864_2022.fa	B3.2
A_American_Crow_BC_AIVPHL-921_2023.fa	B3.2
A_American_Crow_BC_AIVPHL-922_2023.fa	B3.2
A_American_Crow_BC_AIVPHL-929_2023.fa	B3.2
A_american_crow_Iowa_24_006634-001_2024.fa	B3.6
A_American_Crow_PEI_FAV-0019-2_2022.fa	B3.2
A_American_Crow_PEI_FAV-0019-3_2022.fa	B3.2
A_American_Crow_PEI_FAV-0019-4_2022.fa	B3.2
A_American_Crow_PEI_FAV-0019-52022.fa	B3.2
A_American_Crow_PEI_FAV-0019-6_2022.fa	B3.2
A_American_pelican_Kansas_W22-200_2022.fa	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file
A_American_white_pelican_North_Carolina_W24-84_2024.fa	C2.1
A_American_wigeon_Alaska_22-034097-002_2022.fa	B3.2
A_American_wigeon_Alaska_22-034097-007_2022.fa	A3
A_American_wigeon_Alaska_IZ22_0890_2022.fa	A4
A_American_wigeon_Alaska_IZ22_0891_2022.fa	A4
A_American_Wigeon_BC_AIVPHL-1410_2023.fa	A3
A_American_Wigeon_BC_AIVPHL-1411_2023.fa	A3
A_American_Wigeon_BC_AIVPHL-1420_2023.fa	A3
A_American_Wigeon_BC_AIVPHL-1421_2023.fa	B3.6
A_American_wigeon_Montana_23-030445-012-original_2023.fa	B3.6
A_American_wigeon_Ohio_24-008552-021_2023.fa	B3.6
A_American_wigeon_Oregon_23-031857-002-original_2023.fa	B3.6
A_Anas_crecca_Hubei_Chenhu1623-5_2014H5N6.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_09-884_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_09-762-P1_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_10413_0003_2020.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_Platyrhynchos_Belgium_10811_6_2019.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_11442_39_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_17330cls42_2013.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_1899_2017.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_8862_H170636_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_9074_H191808_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_Belgium_9473_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_domestica_Belgium_5517_2021.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_domesticus_Belgium_11599_0005_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anas_platyrhynchos_domesticus_Belgium_14735-0001_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_anas_platyrhynchos_Romania_10368_23VIR1368-2_2023.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anhui_1_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anhui_1_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anhui_2021-00011_2020.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anhui_33162_2016.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anhui_33163_2016.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anser_albifrons_Belgium_11956_005_2020.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anser_albifrons_Belgium_15465_0010_2021.fa	Not assigned: No Matching Genotypes
A_Anser_albifrons_Hubei_Chenhu586_2013H5N3.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Belgium_00286_0004_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Belgium_00939-0011_2022.fa	Not assigned: No Matching Genotypes
A_Anser_anser_Belgium_12540_0001_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
